,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Player_Name,Unnamed: 29,PTS_normalized,REB_normalized,Defense,PTS
0,0,201939,2022-23,0,1610612744,GSW,35,56,56,1941,10.4,21,0.493,5.1,11.9,1,4.8,5.2,0.915,0.7,5.6,0.496062992,0.619047619,1,0.4,3.3,2.2,0.959247649,Stephen Curry,,0.96,,0.7,0.959247649
1,1,202691,2022-23,0,1610612744,GSW,33,69,69,2279,8.6,19.8,0.436,4.8,11.5,0.964871194,1.8,2.1,0.879,0.6,3.9,0.354330709,0.247619048,0.8,0.5,1.9,2.1,0.746081505,Klay Thompson,,0.74,,0.65,0.746081505
2,2,203081,2022-23,0,1610612757,POR,32,58,58,2107,9.5,20.5,0.463,4.2,11.2,0.868852459,8.7,9.5,0.914,0.8,4,0.37007874,0.695238095,0.9,0.3,3.3,1.9,1,Damian Lillard,,1,,0.6,1
3,3,2544,2022-23,0,1610612747,LAL,38,55,54,1954,11.2,22.5,0.5,2.2,6.9,0.75175644,4.6,6,0.768,1.2,7.2,0.661417323,0.657142857,0.9,0.6,3.3,1.6,0.918495298,LeBron James,,0.918,,0.75,0.918495298
4,4,1629673,2022-23,0,1610612744,GSW,24,82,43,2458,8.1,18.7,0.43,3.1,9.3,0.786885246,5.3,6.1,0.87,0.5,2.8,0.25984252,0.514285714,0.9,0.3,3.7,3.1,0.768025078,Jordan Poole,,0.768,,0.6,0.768025078
5,5,203999,2022-23,0,1610612743,DEN,28,69,69,2323,10,15.8,0.632,0.9,2.3,0.896955504,5.3,6.4,0.822,2.6,10.1,1,1,1.3,0.7,3.8,2.7,0.821316614,Nikola Jokic,,0.821,,1,0.821316614
6,6,201935,2022-23,0,1610612755,PHI,33,58,58,2135,6.3,14.2,0.441,2.7,7,0.901639344,5.3,6.1,0.867,0.7,5.3,0.472440945,0.99047619,1.2,0.5,3.3,1.9,0.642633229,James Harden,,0.642,,0.85,0.642633229
7,7,1627750,2022-23,0,1610612743,DEN,26,65,65,2133,8,17.6,0.454,2.9,7.3,0.932084309,3,3.6,0.833,0.8,3.5,0.338582677,0.638095238,1.1,0.3,2.4,1.7,0.686520376,Jamal Murray,,0.686,,0.7,0.686520376
