Player_Full_Name,Frequency
Stephen Curry,822
LeBron James,615
Michael Jordan,312
Nikola Jokic,311
Ray Allen,296
Klay Thompson,295
Kevin Durant,263
James Harden,249
Russell Westbrook,220
Kobe Bryant,193
Kyrie Irving,189
Chris Paul,172
Jamal Murray,167
D'Angelo Russell,167
Anthony Davis,154
Jimmy Butler,150
Jordan Poole,144
Damian Lillard,137
Joel Embiid,134
Gabe Vincent,120
